"id","job_id","details","job_type","start_time","end_time","total_runtime","info","transformations"
10,"626b37f3-e30c-48ce-8f9b-a39f44c121da","Behind shoulder worry truth.","AWS Sagemaker","2023-10-20 03:37:12.114336","2023-07-13 12:31:05.963630","0:00:00","""Guess social special them simple garden policy find.""","[{""Info"": {""feel"": ""team"", ""seek"": ""than""}, ""Name"": ""level"", ""Details"": ""Effect church difficult turn."", ""End Time"": ""2023-03-13 10:06:47.582139"", ""SQL Query"": ""SELECT * FROM town"", ""Start Time"": ""2023-08-24 11:30:47.703230"", ""Total Runtime"": ""0:00:00""}]"
11,"769f837f-9659-4ba5-8ff2-7bf23fd08f63","Arrive relationship keep people which film.","AWS Sagemaker","2023-07-28 16:50:12.885399","2023-09-16 14:48:57.806416","0:00:00","""Sit environmental space apply.""","[{""Info"": {""yeah"": ""stock"", ""start"": ""free"", ""evidence"": ""quite""}, ""Name"": ""parent"", ""Details"": ""Situation often painting hour pick democratic recent."", ""End Time"": ""2023-08-09 15:15:41.834764"", ""SQL Query"": ""SELECT * FROM score"", ""Start Time"": ""2023-04-30 14:22:59.237959"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""break"": ""entire"", ""single"": ""million"", ""another"": ""here"", ""realize"": ""mission""}, ""Name"": ""bag"", ""Details"": ""From civil gun."", ""End Time"": ""2023-12-16 15:55:12.071864"", ""SQL Query"": ""SELECT * FROM short"", ""Start Time"": ""2023-10-02 13:20:33.141621"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""PM"": ""part""}, ""Name"": ""red"", ""Details"": ""Itself that official quite include mean."", ""End Time"": ""2023-09-05 23:21:48.028694"", ""SQL Query"": ""SELECT * FROM there"", ""Start Time"": ""2023-10-17 13:58:51.603057"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""be"": ""all""}, ""Name"": ""marriage"", ""Details"": ""Nothing spring shake happen in also."", ""End Time"": ""2023-11-20 21:30:24.530871"", ""SQL Query"": ""SELECT * FROM stop"", ""Start Time"": ""2023-05-28 02:54:25.361792"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""wait"": ""task""}, ""Name"": ""leader"", ""Details"": ""Kind pass product matter source food big."", ""End Time"": ""2023-02-25 21:03:11.450850"", ""SQL Query"": ""SELECT * FROM water"", ""Start Time"": ""2023-03-15 00:53:01.981101"", ""Total Runtime"": ""0:00:00""}]"
12,"3eec6cd7-f088-4f42-8330-2963f98ce6be","Part despite land expert news sing.","Glue","2023-05-24 14:24:24.331326","2023-11-07 22:31:12.268550","0:00:00","""Leave write perhaps community chance.""","[{""Info"": {""suffer"": ""exactly""}, ""Name"": ""fear"", ""Details"": ""Watch staff take though character."", ""End Time"": ""2023-08-05 05:14:18.805344"", ""SQL Query"": ""SELECT * FROM mean"", ""Start Time"": ""2023-12-15 21:55:18.117864"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""it"": ""sort"", ""deal"": ""today"", ""item"": ""up"", ""future"": ""them"", ""information"": ""husband""}, ""Name"": ""ten"", ""Details"": ""Through story response this early."", ""End Time"": ""2023-10-14 02:01:37.126781"", ""SQL Query"": ""SELECT * FROM professional"", ""Start Time"": ""2023-10-09 05:48:41.379640"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""now"": ""Republican"", ""born"": ""expect"", ""half"": ""for"", ""quality"": ""organization""}, ""Name"": ""national"", ""Details"": ""Pattern a democratic public still."", ""End Time"": ""2023-10-12 20:06:24.799697"", ""SQL Query"": ""SELECT * FROM major"", ""Start Time"": ""2023-09-07 22:47:23.727958"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""trade"": ""once""}, ""Name"": ""perform"", ""Details"": ""Such part home child."", ""End Time"": ""2023-05-20 17:00:10.609322"", ""SQL Query"": ""SELECT * FROM town"", ""Start Time"": ""2023-03-22 07:28:02.015302"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""on"": ""no"", ""note"": ""involve""}, ""Name"": ""build"", ""Details"": ""Democrat fire model return begin term game."", ""End Time"": ""2023-10-20 18:11:24.203843"", ""SQL Query"": ""SELECT * FROM despite"", ""Start Time"": ""2023-12-20 18:47:17.794800"", ""Total Runtime"": ""0:00:00""}]"
13,"ec4b1f33-afff-4625-b4c3-cce95a24a452","Man chance analysis wrong cause.","Other","2023-11-07 23:10:14.549994","2023-09-05 05:12:57.105793","0:00:00","""Own behind happy woman.""","[{""Info"": {""sound"": ""leg"", ""billion"": ""change""}, ""Name"": ""agent"", ""Details"": ""Play sing station better she different purpose."", ""End Time"": ""2023-06-04 12:55:35.935940"", ""SQL Query"": ""SELECT * FROM decide"", ""Start Time"": ""2023-01-25 09:00:21.706646"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""whose"": ""learn"", ""notice"": ""development""}, ""Name"": ""drop"", ""Details"": ""Citizen job morning off paper sea."", ""End Time"": ""2023-11-23 15:36:29.967348"", ""SQL Query"": ""SELECT * FROM various"", ""Start Time"": ""2023-12-12 02:25:32.701473"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""as"": ""turn"", ""big"": ""indeed"", ""find"": ""leave"", ""over"": ""want"", ""beyond"": ""spend""}, ""Name"": ""likely"", ""Details"": ""Hour test keep worry what."", ""End Time"": ""2023-09-12 13:19:26.506480"", ""SQL Query"": ""SELECT * FROM management"", ""Start Time"": ""2023-03-11 06:24:34.528651"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""major"": ""give"", ""account"": ""wind""}, ""Name"": ""agency"", ""Details"": ""Card light interesting despite floor."", ""End Time"": ""2023-07-28 07:45:17.211548"", ""SQL Query"": ""SELECT * FROM college"", ""Start Time"": ""2023-04-02 16:01:00.737312"", ""Total Runtime"": ""0:00:00""}]"
14,"21fd90ba-43ae-444e-9f69-cbe019d7302d","Season nearly up us explain choose.","AWS Sagemaker","2023-02-23 07:14:07.653995","2023-06-28 00:02:55.485205","0:00:00","""Decade relate general reality.""","[{""Info"": {""no"": ""always"", ""budget"": ""tree""}, ""Name"": ""reality"", ""Details"": ""Through past above carry degree my bad."", ""End Time"": ""2023-09-14 13:04:47.013015"", ""SQL Query"": ""SELECT * FROM family"", ""Start Time"": ""2023-10-12 15:17:05.421498"", ""Total Runtime"": ""0:00:00""}]"
15,"1e9ffc39-b0f2-42f5-aad6-e4ae59fb0dba","Nothing dream ability new off now support.","Other","2023-05-23 10:19:47.793522","2023-04-27 06:56:20.132647","0:00:00","""Term team church image describe could line then.""","[{""Info"": {""expect"": ""major""}, ""Name"": ""smile"", ""Details"": ""Hot assume contain huge."", ""End Time"": ""2023-06-12 21:31:18.008981"", ""SQL Query"": ""SELECT * FROM whatever"", ""Start Time"": ""2023-03-27 13:21:43.670728"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""amount"": ""none"", ""garden"": ""set"", ""person"": ""chair"", ""performance"": ""hear""}, ""Name"": ""entire"", ""Details"": ""To we economy white can."", ""End Time"": ""2023-10-05 13:32:31.471918"", ""SQL Query"": ""SELECT * FROM local"", ""Start Time"": ""2023-02-17 03:31:18.700061"", ""Total Runtime"": ""0:00:00""}]"
17,"12f96cfc-9e8e-4dfd-b23d-0050c00338e5","Thousand religious four space foreign key decide.","Other","2023-06-23 06:00:26.651268","2023-08-27 15:40:22.441518","0:00:00","""Them ground most clearly shake ago from.""","[{""Info"": {""worry"": ""pretty"", ""student"": ""age"", ""authority"": ""different""}, ""Name"": ""measure"", ""Details"": ""Suggest contain should beyond analysis."", ""End Time"": ""2023-09-23 19:59:41.500977"", ""SQL Query"": ""SELECT * FROM particular"", ""Start Time"": ""2023-05-15 11:56:32.767267"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""fact"": ""wall"", ""collection"": ""who""}, ""Name"": ""model"", ""Details"": ""Case way some return."", ""End Time"": ""2023-12-27 14:08:38.240978"", ""SQL Query"": ""SELECT * FROM mean"", ""Start Time"": ""2023-10-23 22:26:33.255555"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""arm"": ""woman"", ""child"": ""color"", ""quality"": ""detail""}, ""Name"": ""fine"", ""Details"": ""Discover else design throughout student positive."", ""End Time"": ""2023-09-16 07:32:50.184364"", ""SQL Query"": ""SELECT * FROM minute"", ""Start Time"": ""2023-08-02 23:16:07.716080"", ""Total Runtime"": ""0:00:00""}]"
18,"b9c791cb-bd07-4936-b2be-71369b5775d0","Now chance low in region.","Glue","2023-02-20 17:09:01.835445","2023-08-24 23:49:00.786132","0:00:00","""Could their mouth gun tax.""","[{""Info"": {""why"": ""after"", ""prevent"": ""whom"", ""election"": ""camera"", ""possible"": ""sort""}, ""Name"": ""prepare"", ""Details"": ""Detail trade which clearly trial."", ""End Time"": ""2023-05-10 19:11:51.447444"", ""SQL Query"": ""SELECT * FROM seat"", ""Start Time"": ""2023-04-09 03:16:23.987294"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""a"": ""yet"", ""somebody"": ""walk""}, ""Name"": ""special"", ""Details"": ""Community not why political easy."", ""End Time"": ""2023-01-20 20:00:10.673392"", ""SQL Query"": ""SELECT * FROM Republican"", ""Start Time"": ""2023-02-01 20:53:31.471319"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""today"": ""moment""}, ""Name"": ""entire"", ""Details"": ""Peace foot culture which government win."", ""End Time"": ""2023-11-20 20:51:50.624447"", ""SQL Query"": ""SELECT * FROM body"", ""Start Time"": ""2023-02-10 08:10:52.330231"", ""Total Runtime"": ""0:00:00""}]"
19,"53ee005c-4b22-42dc-8512-75a8cba79295","Food born specific off several.","Other","2023-08-08 04:42:47.369058","2023-09-09 14:30:29.366660","0:00:00","""Property quite star.""","[{""Info"": {""prove"": ""information"", ""range"": ""food"", ""likely"": ""think""}, ""Name"": ""enough"", ""Details"": ""Bring citizen friend see lose week."", ""End Time"": ""2023-05-09 21:16:44.501579"", ""SQL Query"": ""SELECT * FROM know"", ""Start Time"": ""2023-09-17 17:39:56.131650"", ""Total Runtime"": ""0:00:00""}]"
20,"16b193cd-856f-45dd-bb2d-46f3d8040231","Teach southern card recent as.","AWS Sagemaker","2023-11-22 11:21:46.210596","2023-08-15 18:56:16.276540","0:00:00","""Work score everyone.""","[{""Info"": {""he"": ""end"", ""item"": ""agent"", ""true"": ""provide"", ""training"": ""especially""}, ""Name"": ""lawyer"", ""Details"": ""Suffer wrong woman forget result career."", ""End Time"": ""2023-04-23 00:39:53.392248"", ""SQL Query"": ""SELECT * FROM page"", ""Start Time"": ""2023-05-13 13:07:45.702412"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""more"": ""man"", ""reflect"": ""cultural"", ""business"": ""police"", ""military"": ""ready""}, ""Name"": ""education"", ""Details"": ""Challenge think outside TV notice."", ""End Time"": ""2023-08-16 18:07:40.007926"", ""SQL Query"": ""SELECT * FROM believe"", ""Start Time"": ""2023-05-06 09:34:24.140970"", ""Total Runtime"": ""0:00:00""}]"
21,"e7373b6e-f888-46a1-88ae-c09ac5229591","Old well occur identify public class various.","AWS Sagemaker","2023-12-22 12:48:36.501112","2023-10-17 01:04:06.250617","0:00:00","""After produce material simply cost.""","[{""Info"": {""war"": ""what"", ""share"": ""nothing""}, ""Name"": ""worry"", ""Details"": ""Mrs media after finish majority."", ""End Time"": ""2023-05-07 16:11:07.956316"", ""SQL Query"": ""SELECT * FROM perform"", ""Start Time"": ""2023-01-19 02:06:51.846842"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""prepare"": ""summer""}, ""Name"": ""card"", ""Details"": ""Ok face red part woman language."", ""End Time"": ""2023-11-01 17:21:33.924851"", ""SQL Query"": ""SELECT * FROM people"", ""Start Time"": ""2023-05-17 03:11:26.589813"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""cause"": ""quite"", ""current"": ""know"", ""meeting"": ""west"", ""political"": ""there""}, ""Name"": ""step"", ""Details"": ""Political give project leave develop tend."", ""End Time"": ""2023-10-11 09:26:02.778558"", ""SQL Query"": ""SELECT * FROM necessary"", ""Start Time"": ""2023-02-20 16:52:41.101230"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""big"": ""system"", ""him"": ""another"", ""never"": ""indeed"", ""between"": ""eat""}, ""Name"": ""lead"", ""Details"": ""Value seek organization happy hand."", ""End Time"": ""2023-02-08 21:16:50.645565"", ""SQL Query"": ""SELECT * FROM without"", ""Start Time"": ""2023-01-28 04:27:46.634227"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""exactly"": ""event""}, ""Name"": ""election"", ""Details"": ""Least fill step item themselves low."", ""End Time"": ""2023-12-26 22:11:15.556637"", ""SQL Query"": ""SELECT * FROM prepare"", ""Start Time"": ""2023-04-10 08:06:48.858247"", ""Total Runtime"": ""0:00:00""}]"
22,"60bd9244-9fd8-4652-9a15-276998997efe","Western term ready seat.","Glue","2023-08-14 18:01:38.283548","2023-10-03 05:37:04.648896","0:00:00","""Agree probably official central important sing short.""","[{""Info"": {""space"": ""can"", ""against"": ""time"", ""somebody"": ""almost""}, ""Name"": ""today"", ""Details"": ""Growth build office type meet firm."", ""End Time"": ""2023-09-02 06:24:35.360600"", ""SQL Query"": ""SELECT * FROM middle"", ""Start Time"": ""2023-08-11 13:10:51.180367"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""determine"": ""section""}, ""Name"": ""enjoy"", ""Details"": ""Thank significant assume mouth who money should hope."", ""End Time"": ""2023-02-07 22:20:05.472492"", ""SQL Query"": ""SELECT * FROM former"", ""Start Time"": ""2023-11-04 10:50:12.772902"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""section"": ""prove""}, ""Name"": ""learn"", ""Details"": ""Agency must outside."", ""End Time"": ""2023-06-27 08:31:26.001857"", ""SQL Query"": ""SELECT * FROM up"", ""Start Time"": ""2023-12-20 10:09:23.462974"", ""Total Runtime"": ""0:00:00""}]"
23,"ba547797-1b35-4040-b0fe-ef9232cafec0","Skin other strong southern heavy.","Glue","2023-10-06 03:30:51.292097","2023-07-07 02:52:29.934443","0:00:00","""Remember seek difference place.""","[{""Info"": {""whole"": ""attorney"", ""itself"": ""learn""}, ""Name"": ""people"", ""Details"": ""Onto chair conference whatever."", ""End Time"": ""2023-05-13 09:39:54.215865"", ""SQL Query"": ""SELECT * FROM field"", ""Start Time"": ""2023-08-04 01:07:54.641126"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""during"": ""prepare"", ""compare"": ""training""}, ""Name"": ""standard"", ""Details"": ""Opportunity start science program necessary will."", ""End Time"": ""2023-10-20 06:19:05.527738"", ""SQL Query"": ""SELECT * FROM expert"", ""Start Time"": ""2023-12-08 16:28:07.187700"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""body"": ""partner""}, ""Name"": ""both"", ""Details"": ""Realize law listen hold brother common."", ""End Time"": ""2023-04-22 05:01:27.556641"", ""SQL Query"": ""SELECT * FROM police"", ""Start Time"": ""2023-07-15 06:03:57.981888"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""or"": ""usually"", ""hundred"": ""election"", ""prevent"": ""staff""}, ""Name"": ""concern"", ""Details"": ""Movie beyond down read."", ""End Time"": ""2023-03-07 19:29:41.023380"", ""SQL Query"": ""SELECT * FROM no"", ""Start Time"": ""2023-03-21 18:48:02.758544"", ""Total Runtime"": ""0:00:00""}]"
24,"a3cbb412-450e-4ea3-b77b-e33a3f9fbb87","Opportunity director rather small.","Glue","2023-10-16 01:41:12.035743","2023-05-21 16:47:03.570336","0:00:00","""Size production political fast their.""","[{""Info"": {""argue"": ""travel"", ""message"": ""up""}, ""Name"": ""inside"", ""Details"": ""Appear street hear expect."", ""End Time"": ""2023-03-01 02:26:58.396877"", ""SQL Query"": ""SELECT * FROM group"", ""Start Time"": ""2023-10-15 21:02:28.968277"", ""Total Runtime"": ""0:00:00""}]"
25,"fa0635ed-e267-46a8-9591-fa4dc3e515ea","Sell in apply hand research summer.","AWS Sagemaker","2023-10-01 06:07:33.012255","2023-12-05 03:15:23.147340","0:00:00","""Month next suddenly.""","[{""Info"": {""foot"": ""product"", ""example"": ""week""}, ""Name"": ""production"", ""Details"": ""Information Republican art itself keep rise."", ""End Time"": ""2023-11-08 09:10:25.930312"", ""SQL Query"": ""SELECT * FROM play"", ""Start Time"": ""2023-06-08 10:57:29.147079"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""sing"": ""hair"", ""compare"": ""since""}, ""Name"": ""remember"", ""Details"": ""Subject might Mr."", ""End Time"": ""2023-06-10 22:02:56.680171"", ""SQL Query"": ""SELECT * FROM letter"", ""Start Time"": ""2023-08-09 14:57:22.034822"", ""Total Runtime"": ""0:00:00""}, {""Info"": {""after"": ""threat"", ""treat"": ""own"", ""until"": ""but"", ""challenge"": ""pay""}, ""Name"": ""Mr"", ""Details"": ""Agree one enter send media."", ""End Time"": ""2023-04-13 21:20:49.126580"", ""SQL Query"": ""SELECT * FROM remain"", ""Start Time"": ""2023-09-18 14:22:01.225957"", ""Total Runtime"": ""0:00:00""}]"
